phi,mu[1],mu[2],mu[3],mu[4],mu[5],mu[6],mu[7],mu[8],mu[9],mu[10],mu[11],mu[12],mu[13],mu[14],mu[15],mu[16],mu[17],mu[18],mu[19],mu[20]
0.84936445,0.05316204,1.33E-06,0.000244279,0.681617311,1.45E-07,0.002186464,0.00026074,0.053215842,0.000969733,0.975894859,4.66E-10,0.00018897,5.707295306,0.090377281,6.13E-10,3.326019904,5.21E-11,1.993137891,2.769156563,0.040328342
1.129738514,0.143407252,5.75E-10,2.31E-05,0.561789839,2.64E-09,0.023815969,0.000690772,0.117837607,5.70E-07,0.976041736,1.81E-06,0.006840421,6.5712649,0.117352155,1.12E-08,3.676404691,5.30E-10,1.784692212,2.77550547,0.067580355
0.998551289,0.06693279,2.41E-08,0.020294776,0.525071206,7.98E-21,0.020885829,0.006472193,0.008084515,3.39E-10,1.396850496,0.012756897,6.38E-07,5.968906319,0.10113884,0.314590378,3.050071503,5.20E-09,1.911129561,3.309843239,0.057310151
0.840407063,0.105637086,0.016112788,6.10E-05,0.570372997,2.51E-06,7.71E-06,6.53E-06,0.06475243,1.34E-10,1.127476069,0.000179055,5.91E-20,5.262119953,0.103004214,3.14E-12,3.492816103,4.55E-09,1.919646805,2.770969473,0.086817994
1.104659628,0.084414853,3.63E-08,5.69E-06,0.547641723,1.93E-17,0.070140178,2.80E-05,0.017618058,1.36E-09,1.005396516,0.133211225,8.43E-10,6.393863085,0.107098151,1.13E-06,3.015318295,3.71E-13,2.059688749,2.655457606,0.051555611
0.944421417,0.084388425,1.91E-07,0.002435471,0.655871228,7.21E-16,0.000462079,1.55E-05,0.003728545,6.16E-07,1.087500988,6.54E-10,6.16E-09,5.300401074,0.097855818,8.62E-08,4.052998187,1.28E-34,1.680228264,2.778173368,0.049126559
0.982023639,0.085106402,5.58E-08,0.000655314,0.658277725,8.11E-11,0.059333594,1.77E-05,0.034916357,4.31E-07,1.219770501,9.58E-10,5.61E-09,5.473788018,0.093739492,5.96E-11,3.695867664,3.00E-35,1.835128657,2.779592204,0.05351367
1.107580597,0.104362128,1.11E-10,0.010042466,0.77065832,0.016265876,6.81E-17,6.25E-05,0.011870935,0.004729219,1.13935934,4.19E-07,3.26E-07,6.154684598,0.066090518,0.021299859,3.743376894,1.45E-28,1.594084594,2.557200784,0.066511776
0.993815471,0.066915869,4.74E-25,0.001294825,0.557122947,0.025471816,9.76E-19,0.016008898,0.019410185,7.15E-07,0.744404883,4.50E-12,0.000240991,6.118368307,0.137078996,0.056286511,3.385584856,0.001143923,2.969025085,2.98520031,0.083029332
0.756191241,0.056826897,3.66E-30,0.000153914,0.622348707,0.000122622,8.92E-22,0.000241895,0.396912055,4.36E-07,0.719324048,0.013294752,3.92E-10,6.639879115,0.133771038,1.71E-05,3.481338891,0.029043338,3.404140356,3.660589264,0.082967465
1.168223799,0.088492457,0.002468452,0.000841835,0.674753394,0.004350511,0.000120194,0.0025016,0.374401663,0.008460189,1.00637754,1.83E-18,2.51E-07,5.904434977,0.073634078,3.01E-05,3.57262216,0.017438297,1.11313156,2.096985493,0.043760522
0.839795297,0.109639589,0.003334104,0.000122169,0.511427667,0.005602845,0.00013497,0.001497658,0.003862751,0.005299818,0.971757903,1.06E-18,0.009162671,5.349668925,0.109638747,5.51E-12,2.856302955,7.88E-06,1.896666828,2.418753513,0.165350343
