ID,mean,sd,cv
58,0.216363476,0.141545106,0.654200556
59,0.003450527,0.016543495,4.794483967
60,0.219583726,0.147006543,0.669478315
61,0.075465423,0.079641825,1.055341924
62,0.433802967,0.216838031,0.499853731
63,2.623242692,0.8743613,0.333313156
64,0.002684911,0.012538215,4.669880857
65,0.055563986,0.057623974,1.037074155
66,0.108094982,0.082648173,0.764588438
67,0.002663114,0.01252952,4.704838986
68,0.266833404,0.137889253,0.516761584
69,0.476447426,0.201406446,0.422725436
70,0.531336134,0.215974357,0.406474062
71,1.106137335,0.369232424,0.333803419
72,2.829545972,0.781510282,0.276196355
73,0.001641737,0.007310565,4.45294649
74,0.035652557,0.035921333,1.007538737
75,0.001723018,0.008029062,4.659881934
76,0.173311618,0.085211096,0.491664072
77,0.139832294,0.07466498,0.533960914
78,0.174466547,0.085236135,0.488552885
79,0.552789692,0.175258987,0.317044601
80,0.659281339,0.202189867,0.306682224
81,4.563556027,0.956420584,0.209577921
82,0.001296854,0.00546063,4.210675978
83,0.001358497,0.006254717,4.604145225
84,0.05191598,0.037810406,0.728299959
85,0.180572695,0.07422506,0.411053619
86,0.052586465,0.038910327,0.739930456
87,0.258085124,0.091571017,0.354809359
88,0.669708103,0.174457244,0.260497437
89,0.721014984,0.184089132,0.255319426
90,2.711245274,0.529369585,0.195249611
91,0.000814311,0.003620677,4.446307694
92,0.017951432,0.018201646,1.013938387
93,0.051817111,0.029931648,0.577640236
94,0.051548851,0.030958807,0.600572198
95,0.17123052,0.059860333,0.34958916
96,0.306437544,0.083290973,0.271804076
97,0.645093173,0.137310251,0.212853363
98,1.27093946,0.226284782,0.178045288
99,3.827435673,0.580575597,0.151687879
1,0.024895058,0.134127318,5.387708616
2,0.022661338,0.127127136,5.609868915
3,0.025716665,0.157574508,6.127330622
4,0.02840631,0.195241053,6.873157965
5,0.0257484,0.131631584,5.112223885
6,1.010289895,1.289302586,1.276170922
7,0.520704597,0.839990502,1.613180499
8,0.537812852,0.902941557,1.678914057
9,4.736517898,3.785471521,0.7992098
10,0.016793173,0.083114804,4.949320919
11,0.018059357,0.119397895,6.611414376
12,0.016693586,0.113356225,6.790405703
13,0.016330595,0.08081144,4.948468826
14,0.678534691,0.73960774,1.09000726
15,0.351470773,0.462837968,1.316860472
16,0.684295266,0.74785722,1.092886736
17,0.99397095,0.930433841,0.936077499
18,3.95213557,2.560395038,0.647851014
19,0.012406735,0.058680978,4.729767875
20,0.013392835,0.069954637,5.223288076
21,0.0126435,0.063353962,5.010793232
22,0.510049966,0.479049185,0.93922011
23,0.26419382,0.335125597,1.268483862
24,0.513620736,0.493951349,0.961704452
25,0.2647627,0.330889884,1.249760198
26,0.750500188,0.632341625,0.84256025
27,2.918398695,1.863481427,0.638528735
28,0.008636606,0.039130239,4.530742786
29,0.008197625,0.043712268,5.332309081
30,0.008584632,0.053033764,6.177756241
31,0.343449656,0.31107734,0.905743635
32,0.008635672,0.045603523,5.280830877
33,0.678090335,0.477936676,0.704827442
34,0.178732468,0.213726914,1.195792327
35,1.824315314,0.997803209,0.546946683
36,4.216925748,2.059075157,0.488288218
37,0.005491908,0.024815964,4.518641898
38,0.006236425,0.029367194,4.708978918
