phi,beta,p10,mu[1],mu[2],mu[3],mu[4],mu[5],mu[6],mu[7],mu[8],mu[9],mu[10],mu[11],mu[12],mu[13],mu[14],mu[15],mu[16],mu[17],mu[18],mu[19],mu[20]
1.060241346,2.864730189,-3.048766138,0.093414759,5.52E-23,0.002990649,0.44868972,1.24E-21,0.000295886,2.80E-05,0.001049671,0.110201284,1.012996595,2.03E-13,0.003744237,5.213684783,0.116110634,0.026775201,3.547999221,0.007308919,3.631602111,3.70686378,0.030204585
0.902415734,3.933665306,-4.058974393,0.087567819,1.68E-18,4.75E-07,0.731156427,1.85E-09,1.47E-14,1.71E-05,0.040918006,4.63E-08,1.056705981,0.02868295,2.85E-10,6.992405477,0.075170685,0.289665049,2.961281708,0.016741455,2.091132866,2.748697259,0.011238453
0.973793188,3.815890577,-3.706215243,0.078356119,1.82E-20,2.63E-05,0.781135855,3.00E-10,1.84E-18,9.71E-06,0.019356126,1.18E-09,1.090257305,0.012545058,0.00185964,6.849734276,0.080063138,0.093286318,3.025186924,0.000125431,1.808517139,2.578775483,0.018097054
0.773680935,3.035848333,-4.064366895,0.056900303,1.56E-11,0.021907473,0.540161486,0.005095597,0.056527828,0.000140635,0.026816696,4.80E-07,0.875117937,0.008493171,0.000512874,5.811041745,0.096156405,0.278732573,2.744356724,2.58E-13,2.182896268,5.116075466,0.036613178
0.894943529,3.304870278,-4.079365009,0.093473417,2.35E-23,1.78E-05,0.532219184,0.000854742,4.19E-08,0.003481127,0.128034027,1.48E-05,0.85045554,2.29E-05,1.02E-06,4.718809359,0.099683585,0.289133466,2.617180566,0.017752953,2.459661871,4.818772884,0.086953305
0.875628373,3.389892005,-4.857719198,0.094974292,3.37E-16,1.74E-05,0.589492805,0.012176652,1.76E-08,0.003667097,0.030591154,0.029457383,0.627513759,1.69E-09,5.30E-10,4.329219719,0.098003964,0.362854204,2.711795296,1.09E-05,2.638440365,3.903106549,0.090266776
1.096622516,3.069499775,-4.338580723,0.084101201,1.89E-11,0.007353568,0.638809895,6.43E-05,0.001336403,0.001293956,0.396725127,0.003911858,0.64607202,1.06E-07,8.57E-07,5.672184334,0.09305981,0.432740061,3.698778514,0.010523668,3.103755074,3.295569677,0.043141214
1.042110386,3.101868535,-4.126943635,0.086360392,2.46E-07,0.000379173,0.507603826,0.00014652,0.0111689,0.004910182,0.070551632,0.016310236,0.668046415,2.76E-08,1.52E-15,5.906145284,0.104236406,0.367893704,3.146233223,0.017564175,2.895689649,2.938934805,0.134986663
1.157197041,1.37695417,-3.788144973,0.086604049,2.54E-09,0.000669223,0.543742453,0.001150625,2.52E-10,0.000114454,3.75E-05,0.000297255,0.933396653,9.90E-05,3.24E-18,5.173822813,0.089836841,0.104311364,2.695427103,0.006736542,2.441633701,3.318109077,0.045702176
0.956578915,3.649016639,-3.869717535,0.070605052,3.19E-14,0.000460756,0.55924469,0.000537829,1.19E-23,0.006452591,0.000761693,0.011877117,1.015778467,8.86E-05,4.52E-09,6.636579115,0.109324359,0.649060255,2.856350122,4.25E-12,2.362206178,2.523750623,0.11670344
1.010088867,2.992591848,-4.335574366,0.065050065,1.60E-16,7.16E-05,0.518080951,3.62E-07,2.77E-13,0.002923749,0.218657315,0.000568858,0.840568103,1.26E-07,9.47E-13,6.736931344,0.122112159,0.534035716,2.409801293,5.38E-30,2.025518357,3.008874269,0.111340989
0.796166869,1.663835238,-3.325685518,0.11210172,8.46E-28,0.016940398,0.515285843,0.01480753,1.21E-08,0.001733858,0.058672692,1.33E-06,0.594311224,1.12E-05,1.09E-06,6.705246969,0.115806296,0.304093258,3.116564386,1.90E-37,3.694829963,3.540767357,0.034207217
0.830279337,1.961321427,-3.942338746,0.083822827,2.08E-12,0.001235939,0.513262334,0.00034811,3.54E-16,0.002296618,0.016468325,1.07E-05,0.707010968,9.56E-09,7.73E-05,6.409600715,0.106466254,0.187847353,2.864782959,2.50E-19,3.204750312,3.84252292,0.049333472
