ID,mean,sd,cv
53,1.640994908,0.578052291,0.352257212
54,3.646845333,1.161731374,0.318557895
55,0.002617482,0.011747522,4.488100584
56,0.051993852,0.054039134,1.039336997
57,0.051841959,0.05330038,1.028132059
58,0.237105244,0.12959753,0.5465823
59,0.29197012,0.149169516,0.510906788
60,0.384679209,0.161851729,0.420744676
61,0.146185191,0.089409327,0.611616854
62,1.345051365,0.412965004,0.307025452
63,2.63431234,0.669285684,0.254064666
64,0.002228349,0.01093979,4.909370219
65,0.001996171,0.009190406,4.604017944
66,0.080250814,0.057660552,0.718504267
67,0.041053953,0.041025431,0.999305267
68,0.354309276,0.140848895,0.397530926
69,0.087469847,0.072892975,0.833349748
70,0.311262833,0.131128369,0.421278595
71,1.489468426,0.394312978,0.264734029
72,3.226869061,0.824158367,0.255404961
73,0.0013748,0.006596847,4.798405957
74,0.10502146,0.061605149,0.586595814
75,0.086108707,0.050944669,0.591632028
76,0.001581533,0.006856519,4.335361562
77,0.127724597,0.069735118,0.545980333
78,0.368784913,0.121965862,0.330723567
79,0.484496922,0.145730408,0.300787067
80,0.747076257,0.195075439,0.26111851
81,3.438242092,0.666617352,0.193883192
82,0.001151895,0.00512007,4.444910137
83,0.004192852,0.014509504,3.460533175
84,0.023082184,0.023591944,1.022084566
85,0.001126879,0.004837432,4.292768709
86,0.174631167,0.068272523,0.390952681
87,0.135234763,0.066332146,0.490496261
88,0.71982146,0.169570948,0.235573621
89,1.259993624,0.253905818,0.201513574
90,3.711558411,0.625643614,0.168566285
91,0.000959058,0.004093403,4.268148707
92,0.046411841,0.027337633,0.589022796
93,0.044405577,0.029479457,0.663868352
94,0.103901901,0.043485733,0.418526829
95,0.107724719,0.043825788,0.406831305
96,0.183829248,0.058548931,0.318496277
97,0.487437335,0.108283251,0.222148044
98,0.899505889,0.162309184,0.180442603
99,2.590359544,0.382835629,0.147792468
1,0.01852323,0.063956952,3.452796967
2,0.006222581,0.028928546,4.648962463
3,0.005629648,0.025742638,4.572690634
4,0.006122033,0.028129225,4.594751932
5,0.017665186,0.059935481,3.392858781
6,0.491547604,0.314693974,0.640210574
7,0.24972792,0.273886444,1.096739377
8,1.823170953,0.759285452,0.416464211
9,1.911115307,0.901784124,0.47186275
10,0.005322356,0.024557383,4.614006108
11,0.016577254,0.057969725,3.496943841
12,0.005503479,0.026535681,4.821619522
13,0.005218172,0.023491077,4.501782525
14,0.0051419,0.023658316,4.601084363
15,0.294357908,0.225119876,0.764782836
16,0.665942444,0.352926059,0.529964808
17,3.493174608,1.452344247,0.41576629
18,2.761721812,1.225397152,0.443707671
